tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles
04001942700,AZ,2145.0,4491,3.9,1155.35,29435,36.6063051,-109.1489897,"342,080","18,560",5.43,"27,315",34.0,null
04001944000,AZ,2789.0,5348,17.5,305.81,35983,35.718709,-109.06539,"176,769","4,806",2.72,"30,630",34.0,null
04001944100,AZ,3719.0,5495,7.8,708.25,28178,36.4404164,-109.2655112,"748,375","46,750",6.25,"23,491",29.0,null
04001944201,AZ,3265.0,4021,20.7,193.93,28170,36.1534278,-109.6853411,"120,771","1,539",1.27,"28,765",29.0,null
04001944202,AZ,3018.0,3608,21.8,165.83,30496,36.2212815,-109.481362,"32,072","1,608",5.01,"27,843",28.0,null
04001944901,AZ,1379.0,3369,5.8,577.08,29212,35.7916357,-109.3338227,"499,875","6,375",1.28,"22,752",32.0,null
04001944902,AZ,1034.0,4201,3.9,1076.47,23023,35.8228356,-109.8775261,"319,104","7,680",2.41,"19,345",36.0,null
04001945001,AZ,4511.0,4133,97.6,42.34,37392,35.6807365,-109.0538646,"264,192","10,240",3.88,"38,432",40.0,null
04001945100,AZ,7553.0,2132,3.4,623.91,31663,35.0808065,-109.1705182,"21,984",704,3.2,"33,665",28.0,null
04001970300,AZ,2346.0,3216,6.0,534.62,51100,34.4903072,-109.3861144,"108,189","1,323",1.22,"61,000",43.0,97.01
04001970501,AZ,1379.0,4449,721.1,6.17,53853,34.1224423,-109.2706501,"328,128","4,544",1.38,"63,292",39.0,91.01
04001970502,AZ,3280.0,4767,2.7,1773.86,57891,33.9781246,-109.3193984,"106,353","3,051",2.87,"66,909",53.0,80.03
04003000201,AZ,39930.0,3098,9.3,332.5,52165,32.3785871,-109.8903972,"27,592",960,3.48,"49,852",42.0,26.49
04003000202,AZ,2944.0,3382,62.9,53.74,40586,32.2581451,-109.8413907,"235,904","8,000",3.39,"33,985",34.0,25.59
04003000301,AZ,3993.0,4029,563.5,7.15,31339,31.9596026,-110.3234381,"234,752","6,080",2.59,"27,885",52.0,20.97
04003000303,AZ,1536.0,3400,5.3,645.32,60541,31.9915151,-110.3421459,"94,176","1,755",1.86,"50,714",53.0,21.85
04003000400,AZ,1536.0,2084,5.5,379.7,39777,31.8238868,-109.9799891,"15,960",432,2.71,"40,275",60.0,22.43
04003000600,AZ,3738.0,2600,11.6,224.64,43990,31.3573887,-109.5684393,"28,600",992,3.47,"39,298",36.0,23.75
04003000700,AZ,512.0,4833,345.7,13.98,52395,31.3914408,-109.4939979,"276,992","7,680",2.77,"54,065",29.0,23.31
04003000800,AZ,2483.0,5130,694.2,7.39,44551,31.3525098,-109.5367092,"255,040","10,304",4.04,"42,109",34.0,17.81
04003000901,AZ,3968.0,3305,4527.4,0.73,25804,31.3365834,-109.5455585,"152,512","4,992",3.27,"27,551",32.0,20.1
04003000902,AZ,3625.0,2684,2886.0,0.93,30979,31.3459943,-109.5493894,"56,241","6,237",11.09,"28,400",37.0,19.43
04003001000,AZ,1536.0,1464,9.3,158.27,39942,31.5782629,-109.9076522,"11,968",88,0.74,"34,243",51.0,27.62
04003001100,AZ,2261.0,3103,54.1,57.39,40715,31.361701,-109.8198842,"88,020",918,1.04,"33,561",54.0,29.51
04003001200,AZ,3264.0,2753,21.5,127.86,43476,31.4475373,-109.9876479,"84,294","1,215",1.44,"36,687",47.0,26.36
04003001501,AZ,1664.0,3329,3541.5,0.94,41968,31.5381105,-110.2950044,"85,671","2,970",3.47,"34,649",39.0,12.64
04003001502,AZ,852.0,3633,3561.8,1.02,39285,31.5594586,-110.2953537,"89,802","3,402",3.79,"34,981",35.0,12.53
04003001601,AZ,2559.0,5280,4093.0,1.29,59144,31.5663813,-110.2874416,"149,013","2,997",2.01,"52,056",32.0,11.5
04003001602,AZ,2602.0,3038,1787.1,1.7,45302,31.5497052,-110.2726016,"205,120","9,536",4.65,"42,855",45.0,8.99
04003001701,AZ,3498.0,4355,4147.6,1.05,58566,31.5518174,-110.2456376,"266,624","8,576",3.22,"46,552",35.0,12.1
04003001900,AZ,2559.0,7114,984.0,7.23,106246,31.4668151,-110.2741354,"425,856","6,080",1.43,"93,572",52.0,14.1
04003002001,AZ,1920.0,5453,583.8,9.34,53317,31.4953949,-110.2451668,"155,871","1,971",1.26,"54,461",38.0,15.15
04003002100,AZ,1408.0,4734,22.0,215.58,77177,31.4193085,-110.1872033,"130,572","2,862",2.19,"65,739",54.0,22.06
