tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles,count_gas_stations,avg_gas_station_visits_on_weekday,avg_gas_station_visits_on_weekend,land_m
04003001602,AZ,2602.0,3038,1787.1,1.7,45302,31.5497052,-110.2726016,"205,120","9,536",4.65,"42,855",45.0,8.99,3,201.0,179.0,4396558.0
04013040515,AZ,917.0,4189,4.8,873.27,69248,33.8289882,-112.7214249,"37,232",240,0.64,"55,320",60.0,29.58,2,71.0,67.0,2.257717744E9
04013060801,AZ,1606.0,5282,3719.7,1.42,37738,33.6266284,-112.3381361,"717,125","40,000",5.58,"31,454",42.0,6.65,1,222.0,193.0,3677181.0
04003001900,AZ,2559.0,7114,984.0,7.23,106246,31.4668151,-110.2741354,"425,856","6,080",1.43,"93,572",52.0,14.1,7,430.0,425.0,1.8660061E7
04013061035,AZ,0.0,7099,7243.9,0.98,75152,33.6126828,-112.3548688,"457,856","14,080",3.08,"62,384",38.0,7.44,1,261.0,253.0,2543763.0
04013061402,AZ,1377.0,6154,6914.6,0.89,45711,33.4273923,-112.3393587,"166,968","5,319",3.19,"36,584",29.0,7.18,1,72.0,75.0,2313131.0
04013071514,AZ,5222.0,3896,3417.5,1.14,94432,33.6301965,-112.241689,"103,761","1,836",1.77,"84,649",41.0,6.61,1,259.0,300.0,2958325.0
04013071512,AZ,3214.0,6246,6184.2,1.01,91691,33.6064377,-112.2332573,"409,856","13,952",3.4,"88,167",37.0,6.0,7,237.0,212.0,2612877.0
04003001502,AZ,852.0,3633,3561.8,1.02,39285,31.5594586,-110.2953537,"89,802","3,402",3.79,"34,981",35.0,12.53,6,26.0,25.0,2650282.0
04003001501,AZ,1664.0,3329,3541.5,0.94,41968,31.5381105,-110.2950044,"85,671","2,970",3.47,"34,649",39.0,12.64,4,161.0,147.0,2449104.0
04003002001,AZ,1920.0,5453,583.8,9.34,53317,31.4953949,-110.2451668,"155,871","1,971",1.26,"54,461",38.0,15.15,1,143.0,136.0,2.2044788E7
